Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
trajectory on the bottom substrate,trajectory on the bottom substrate,0,habitat,substrate,,substrate,trajectory on the bottom substrate,,,,,CB
sugar profile,sugar profile,0,composition,sugars,,sugars,sugar profile,,,,,CB
total sugars,total sugars,0,composition,sugars,,sugars,total sugars,,,,,CB
concentration S in leaves,concentration S in leaves,0,composition,sulphur,,sulphur,concentration S in leaves,,,,,CB
leaf S,leaf S,0,composition,sulphur,,sulphur,leaf S,,,,,CB
root conentrations of S,root concentrations of S,0,composition,sulphur,,sulphur,root concentrations of S,,,,,CB
adult female survival rate,adult female survival rate,0,survival,survival,,survival,adult female survival rate,,,,,NH
adult survival,adult survival,0,survival,survival,,survival,adult survival,,,,,NH
adult survival rate,adult survival rate,0,survival,survival,,survival,adult survival rate,,1,see below,"typo, combine",NH
adult survival rates,adult survival rates,0,survival,survival,,survival,adult survival rates,,1,adult survival rate,"typo, combine",NH
annual survival,annual survival,0,survival,survival,,survival,annual survival,,,,,NH
dry period survival,dry period survival,0,survival,survival,,survival,dry period survival,,,,,NH
juvenile survival,juvenile survival,0,survival,survival,,survival,juvenile survival,,,,,NH
juvenile survival rate,juvenile survival rate,0,survival,survival,,survival,juvenile survival rate,,,,,NH
likelihood of females surviving to blood feed,likelihood of females surviving to blood feed,0,survival,survival,,survival,likelihood of females surviving to blood feed,,,,,NH
likelihood of survival to adulthood,likelihood of survival to adulthood,0,survival,survival,,survival,likelihood of survival to adulthood,,,,,NH
shields affected survival,shields affected survival,0,survival,survival,,survival,shields affected survival,,,,,NH
sprouting ratio,sprouting ratio,0,survival,survival,,survival,sprouting ratio,,,,,NH
stage-based survival,stage-based survival,0,survival,survival,,survival,stage-based survival,,,,,NH
success of establishment,success of establishment,0,survival,survival,,survival,success of establishment,,,,,NH
survival,survival,0,survival,survival,,survival,survival,,,,,NH
survival of dry period,survival of dry period,0,survival,survival,,survival,survival of dry period,,,,,NH
survival rate,survival rate,0,survival,survival,,survival,survival rate,,,,,NH
survival rates,survival rates,0,survival,survival,,survival,survival rates,,,,,NH
survivorship,survivorship,0,survival,survival,,survival,survivorship,,,,,NH
survivorship year to year,survivorship year to year,0,survival,survival,,survival,survivorship year to year,,,,,NH
relative width of the tail,relative width of the tail,0,morphology,tail traits,,tail traits,relative width of the tail,,,,,NH
tail compression index,tail compression index,0,morphology,tail traits,,tail traits,tail compression index,,,,,NH
tail length,tail length,0,morphology,tail traits,,tail traits,tail length,,,,,NH
tail:body ratio,tail:body ratio,0,morphology,tail traits,,tail traits,tail:body ratio,,,,,NH
aprical tooth length,aprical tooth length,0,morphology,teeth traits,,teeht traits,aprical tooth length,,,,,NH
differentiated teeth,differentiated teeth,0,morphology,teeth traits,,teeth traits,differentiated teeth,,,,,NH
incisor strength,incisor strength,0,morphology,teeth traits,,teeth traits,incisor strength,,,,,NH
lower tooth row angle,lower tooth row angle,0,morphology,teeth traits,,teeth traits,lower tooth row angle,,,,,NH
lower tooth row length,lower tooth row length,0,morphology,teeth traits,,teeth traits,lower tooth row length,,,,,NH
number of denticle rows,number of denticle rows,0,morphology,teeth traits,,teeth traits,number of denticle rows,,,,,NH
number of lower teeth,number of lower teeth,0,morphology,teeth traits,,teeth traits,number of lower teeth,,,,,NH
number of teeth on lower mandibular,number of teeth on lower mandibular,0,morphology,teeth traits,,teeth traits,number of teeth on lower mandibular,,,,,NH
number of upper teeth,number of upper teeth,0,morphology,teeth traits,,teeth traits,number of upper teeth,,,,,NH
tooth length lower,tooth length lower,0,morphology,teeth traits,,teeth traits,tooth length lower,,,,,NH
tooth length upper,tooth length upper,0,morphology,teeth traits,,teeth traits,tooth length upper,,,,,NH
tooth shape,tooth shape,0,morphology,teeth traits,,teeth traits,tooth shape,,,,,NH
tooth thickness,tooth thickness,0,morphology,teeth traits,,teeth traits,tooth thickness,,,,,NH
upper tooth row angle,upper tooth row angle,0,morphology,teeth traits,,teeth traits,upper tooth row angle,,,,,NH
upper tooth row length,upper tooth row length,0,morphology,teeth traits,,teeth traits,upper tooth row length,,,,,NH
climate change tolerance,climate change tolerance,0,resource acquisition,temperature tolerance,dessication tolerance,dessication tolerance,desiccation tolerance,,,,,CB
climatic tolerance,climatic tolerance,0,resource acquisition,temperature tolerance,dessication tolerance,dessication tolerance,desiccation tolerance,,,,,CB
climatic zone inhabited,climatic zone inhabited,0,resource acquisition,temperature tolerance,dessication tolerance,dessication tolerance,desiccation tolerance,,,,,CB
base temperature,base temperature,0,resource acquisition,temperature tolerance,,temperature tolerance,base temperature,,,,,CB
base temperature,base temperature,1,resource acquisition,temperature tolerance,,temperature tolerance,base temperature,,1,NH?,,CB
base temperature for germination,base temperature for germination,0,resource acquisition,temperature tolerance,,temperature tolerance,base temperature for germination,,,,,CB
ceiling temperatures,ceiling temperatures,0,resource acquisition,temperature tolerance,,temperature tolerance,ceiling temperatures,,,,,CB
chilling requirement to break primary dormancy,chilling requirement to break primary dormancy,0,resource acquisition,temperature tolerance,,temperature tolerance,chilling requirement to break primary dormancy,,,,,CB
cold stratification required,cold stratification required,0,resource acquisition,temperature tolerance,,temperature tolerance,cold stratification required,,,,,CB
cold tolerance,cold tolerance,0,resource acquisition,temperature tolerance,,temperature tolerance,cold tolerance,,,,,CB
critical thermal maximum,critical thermal maximum,0,resource acquisition,temperature tolerance,,temperature tolerance,critical thermal maximum,,,,,CB
development strongly linked to environmental temperature,development strongly linked to environmental temperature,0,resource acquisition,temperature tolerance,,temperature tolerance,development strongly linked to environmental temperature,,,,,CB
effect of dormancy loss treatment on base germination temperature,effect of dormancy loss treatment on base germination temperature,0,resource acquisition,temperature tolerance,,temperature tolerance,effect of dormancy loss treatment on base germination temperature,,,,,CB
expression of molecular weight heat shock protein following heat stress,expression of molecular weight heat shock protein following heat stress,0,resource acquisition,temperature tolerance,,temperature tolerance,expression of molecular weight heat shock protein following heat stress,,,,,CB
germination temperature,germination temperature,0,resource acquisition,temperature tolerance,,temperature tolerance,germination temperature,,,,,CB
heat requirement,heat requirement,0,resource acquisition,temperature tolerance,,temperature tolerance,heat requirement,,,,,CB
larval thermal tolerance,larval thermal tolerance,0,resource acquisition,temperature tolerance,,temperature tolerance,larval thermal tolerance,,,,,CB
optimum temperatures,optimum temperatures,0,resource acquisition,temperature tolerance,,temperature tolerance,optimum temperatures,,,,,CB
temp preference,temp preference,0,resource acquisition,temperature tolerance,,temperature tolerance,temp preference,,,,,CB
temperature for growth,temperature for growth,0,resource acquisition,temperature tolerance,,temperature tolerance,temperature for growth,,,,,CB
temperature preferences,temperature preferences,0,resource acquisition,temperature tolerance,,temperature tolerance,temperature preferences,,,,,CB
thermal time for 50% germination,thermal time for 50% germination,0,resource acquisition,temperature tolerance,,temperature tolerance,thermal time for 50% germination,,,,,CB
thermal tolerance,thermal tolerance,0,resource acquisition,temperature tolerance,,temperature tolerance,thermal tolerance,,,,,CB
exposure tolerance,exposure tolerance,1,resource acquisition,temperature tolerance,,temperature tolerance,exposure tolerance,,1,"NH: thinking regarding temperature, therefore resource acquisiton/niche",,CB
leaf tissue density,leaf tissue density,0,composition,tissue density,,tissue density,leaf tissue density,,,,,CB
skeletal density,skeletal density,0,composition,tissue density,,tissue density,skeletal density,,,,,CB
stem tissue density,stem tissue density,0,composition,tissue density,,tissue density,stem tissue density,,,,,CB
tissue density,tissue density,0,composition,tissue density,,tissue density,tissue density,,,,,CB
vessel area,vessel area,0,morphology,tissue density,plant vessels,plant vessels,plant vessels,,,,,NH
vessel arrangement,vessel arrangement,0,morphology,tissue density,plant vessels,plant vessels,plant vessels,,,,,NH
vessel density,vessel density,0,morphology,tissue density,plant vessels,plant vessels,plant vessels,,,,,NH
vessel groupings,vessel groupings,0,morphology,tissue density,plant vessels,plant vessels,plant vessels,,,,,NH
coleoptile tissue density,coleoptile tissue density,0,morphology,tissue density,,tissue density,coleoptile tissue density,,,,,NH
density of liver,density of liver,0,morphology,tissue density,,tissue density,density of liver,,,,,NH
leaf vein density,leaf vein density,0,morphology,tissue density,,tissue density,leaf vein density,,,,,NH
root wood specific gravity,root wood specific gravity,0,morphology,tissue density,,tissue density,root wood specific gravity,,,,,NH
specific stem density,specific stem density,0,morphology,tissue density,,tissue density,specific stem density,,,,,NH
stem wood specific gravity,stem wood specific gravity,0,morphology,tissue density,,tissue density,stem wood specific gravity,,,,,NH
stemp-specific density,stemp-specific density,0,morphology,tissue density,,tissue density,stemp-specific density,,,,,NH
thickness and tissue density,thickness and tissue density,0,morphology,tissue density,,tissue density,thickness and tissue density,,,,,NH
trunk xylem density,trunk xylem density,0,morphology,tissue density,,tissue density,trunk xylem density,,,,,NH
volume of liver,volume of liver,0,morphology,tissue density,,tissue density,volume of liver,,,,,NH
wood density,wood density,0,morphology,tissue density,,tissue density,wood density,,,,,NH
wood specific gravity,wood specific gravity,0,morphology,tissue density,,tissue density,wood specific gravity,,,,,NH
current adaptation,current adaptation,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current adaptation,,,,,CB
current pref,current pref,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current pref,,,,,CB
current preference,current preference,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current preference,,,,,CB
current realized niche occupancy,current realized niche occupancy,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current realized niche occupancy,,,,,CB
current velocity,current velocity,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current velocity,,,,,CB
current velocity preference,current velocity preference,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current velocity preference,,,,,CB
current velocity preferences,current velocity preferences,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),current velocity preferences,,,,,CB
degree of rheophily,degree of rheophily,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),degree of rheophily,,,,,CB
flow velocity,flow velocity,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),flow velocity,,,,,CB
fluvial dependence,fluvial dependence,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),fluvial dependence,,,,,CB
hydraulic preference,hydraulic preference,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),hydraulic preference,,,,,CB
reophily,reophily,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),reophily,,,,,CB
rheophily,rheophily,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),rheophily,,,,,CB
rheophily habitat,rheophily habitat,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),rheophily habitat,,,,,CB
streamlined and with two or more life stages outside the stream,streamlined and with two or more life stages outside the stream,0,habitat,velocity of medium (air/water),,velocity of medium (air/water),streamlined and with two or more life stages outside the stream,,,,,CB
