Trait,DOI,Primary_classification,Secondary_classification
fleshy fruit,10.1111/j.1472-4642.2007.00381.x,life history,reproductive mode
fleshy lip thickness,10.1111/1365-2435.12838,morphology,NA
flight ability,10.1111/j.1365-2656.2008.01443.x,activity,flight traits
flight feather length,10.1007/s00442-009-1446-2,morphology,wing
flight feather moult status,10.1007/s10682-018-9945-4,morphology,wing
flight initiation distance,10.1371/journal.pone.0107883,activity,predator avoidance
flight initiation distance,10.1093/beheco/ars040,activity,predator avoidance
flight initiation distance,10.1016/j.yhbeh.2007.08.004,activity,predator avoidance
flight period,10.1038/srep24451,activity,flight traits
flight period duration,10.7717/peerj.1410,activity,flight traits
floating leaf,10.1371/journal.pone.0131630,morphology,NA
floral colour,10.1098/rspb.2010.0501,morphology,coloration
floral fragrance,10.1111/ele.12081,morphology,scent
floral scent,10.1371/journal.pone.0098755,morphology,scent
floral scent bouquet,10.1007/s00035-017-0198-6,morphology,scent
floral specialization,10.1111/ecog.00938,morphology,reproductive structure
floral symmetry,10.1890/14-0024.1,morphology,reproductive structure
floral units,10.1111/ele.12342,morphology,reproductive structure
flow velocity,10.1111/geb.12475,habitat,velocity of medium (air/water)
flower-influorescence symmetry,10.1111/ele.12081,morphology,reproductive structure
flower colour,10.1111/oik.02277,morphology,reproductive structure
flower colour,10.1371/journal.pone.0098755,morphology,reproductive structure
flower colour,10.1111/jeb.12845,morphology,reproductive structure
flower depth,10.1111/jeb.12845,morphology,reproductive structure
flower depth,10.5061/dryad.m03vf,morphology,reproductive structure
flower duration,10.1002/ece3.3268,life history,reproductive timing
flower duration,10.1111/1365-2664.12623,life history,reproductive timing
flower inclination,10.1007/s00035-017-0198-6,morphology,reproductive structure
flower pollinator,10.1111/geb.12306,life history,reproductive mode
flower sex,10.1002/ecs2.2374,life history,reproductive mode
flower sex,10.1111/ele.12081,life history,reproductive mode
flower sexuality,10.1890/07-1737.1,life history,reproductive mode
flower shape,10.1111/ele.12081,morphology,reproductive structure
flower shape,10.1111/ele.12342,morphology,reproductive structure
flower size,10.1002/ecs2.2374,morphology,reproductive structure
flower size,10.1890/07-1737.1,morphology,reproductive structure
flower size,10.1111/1365-2656.12161,morphology,reproductive structure
flower size,10.1111/j.1654-1103.2012.01428.x,morphology,reproductive structure
flower size squared,10.1111/1365-2656.12161,morphology,reproductive structure
flower type,10.1111/ele.12081,morphology,reproductive structure
flower type,10.1111/1365-2656.12161,morphology,reproductive structure
flower type,10.1556/ComEc.14.2013.2.7,morphology,reproductive structure
flower type,10.1111/2041-210X.12471,morphology,reproductive structure
flowering date,10.1007/s13593-013-0166-5,life history,reproductive timing
flowering date,10.1111/1365-2664.12935,life history,reproductive timing
flowering date,10.1111/gfs.12129,life history,reproductive timing
flowering duration,unknown_5,life history,reproductive timing
flowering duration,10.1002/ece3.3268,life history,reproductive timing
flowering duration,10.1007/s10531-014-0742-2,life history,reproductive timing
flowering duration,10.1111/j.1365-2745.2011.01932.x,life history,reproductive timing
flowering duration,10.1890/10-0394.1,life history,reproductive timing
flowering duration,10.1111/1365-2664.12623,life history,reproductive timing
flowering duration,10.1002/ece3.3609,life history,reproductive timing
flowering duration,10.1111/jvs.12151,life history,reproductive timing
flowering duration,10.1371/journal.pone.0131630,life history,reproductive timing
flowering end,10.1007/s00442-011-1980-6,life history,reproductive timing
flowering length,10.1007/s00442-015-3295-5,life history,reproductive timing
flowering month flowering duration,10.1556/ComEc.14.2013.2.7,life history,reproductive timing
flowering onset,10.1002/ece3.3609,life history,reproductive timing
flowering onset,10.1111/j.1365-2745.2011.01932.x,life history,reproductive timing
flowering onset,10.1016/j.ecss.2018.11.016,life history,reproductive timing
flowering period,10.1111/j.1365-2745.2009.01610.x,life history,reproductive timing
flowering period end,10.1002/ecs2.2374,life history,reproductive timing
flowering period length,10.1002/ecs2.2374,life history,reproductive timing
flowering period start,10.1002/ecs2.2374,life history,reproductive timing
flowering phenology,10.1111/oik.02277,life history,reproductive timing
flowering phenology,10.1371/journal.pone.0090437,life history,reproductive timing
flowering phenology,10.1139/gen-2018-0039,life history,reproductive timing
flowering phenology,10.1111/j.1365-2664.2009.01714.x,life history,reproductive timing
flowering phenology,unknown_24,life history,reproductive timing
flowering range,10.1007/s13593-013-0166-5,habitat,range
flowering season,10.1111/ele.12081,life history,reproductive timing
flowering season,10.1111/j.1472-4642.2007.00381.x,life history,reproductive timing
flowering span,10.1016/j.ecss.2018.11.016,life history,reproductive timing
flowering start,10.1111/1365-2664.12037,life history,reproductive timing
flowering start,10.1007/s00442-015-3295-5,life history,reproductive timing
flowering start,10.1007/s00442-011-1980-6,life history,reproductive timing
flowering start,10.1111/j.1600-0706.2013.00979.x,life history,reproductive timing
flowering start,10.1111/j.1365-2745.2009.01610.x,life history,reproductive timing
flowering time,10.1556/ComEc.14.2013.2.7,life history,reproductive timing
flowering time,10.1007/s00442-019-04386-0,life history,reproductive timing
flowering time shift,10.1098/rstb.2010.0130,life history,reproductive timing
flowering time tracking,10.1098/rstb.2010.0130,life history,reproductive timing
flowers per inflorescence,10.1111/ele.12081,life history,fecundity
flowers per inflorescences,10.1111/2041-210X.12471,life history,fecundity
fluvial dependence,10.1007/s11160-017-9479-9,habitat,velocity of medium (air/water)
flying,10.1111/1365-2656.12648,activity,flight traits
flying habit,10.1371/journal.pone.0090437,activity,flight traits
foliage,10.1111/j.1461-0248.2008.01255.x,morphology,foliage
foliage C:N ratio,10.3390/f9110722,composition,carbon
foliage persistence,10.1371/journal.pone.0090437,morphology,foliage
foliage structure,10.1371/journal.pone.0090437,morphology,foliage
foliar C-13,10.1111/1365-2745.12160,composition,carbon
foliar C-13,10.1080/17550874.2016.1211192,composition,carbon
foliar C: N ration,10.1111/j.1365-2745.2012.01966.x,composition,carbon
foliar C:N ratio,10.1080/17550874.2016.1211192,composition,carbon
foliar C13 composition,10.1111/1365-2745.12160,composition,carbon
foliar carbon,10.1111/1365-2745.12160,composition,carbon
foliar K,10.1111/1365-2745.12160,composition,potassium
foliar lignin percentage,10.1016/j.rse.2015.06.010,composition,lignin
foliar N,10.1111/1365-2745.12160,composition,nitrogen
foliar N,10.1016/j.rse.2015.06.010,composition,nitrogen
foliar N15 composition,10.1111/j.1365-2745.2012.01966.x,composition,nitrogen
foliar P,10.1111/1365-2745.12160,composition,phosphorous
food preferences,10.1111/jbi.12946,resource acquisition,diet
food relocation behaviour,10.1111/ddi.12785,resource acquisition,feeding mode
food sources,10.3390/w10020108,resource acquisition,diet
food transport strategy,10.1006/jaar.1998.0326,resource acquisition,feeding mode
food types,10.1007/s10021-015-9875-8,resource acquisition,diet
foraging action rate,10.1111/j.1461-0248.2012.01744.x,resource acquisition,feeding mode
foraging behaviour,10.1111/j.1365-2699.2011.02502.x,resource acquisition,feeding mode
foraging behaviour,unknown_11,resource acquisition,feeding mode
foraging behaviour,10.1177/1059712311426800,resource acquisition,feeding mode
foraging behaviour,10.1002/ece3.4896,resource acquisition,feeding mode
foraging density,10.1086/685894,resource acquisition,NA
foraging distance,10.1111/1365-2664.12524,resource acquisition,NA
foraging efficiency,10.1111/faf.12155,resource acquisition,feeding mode
foraging habitat,10.1111/geb.12148,resource acquisition,feeding mode
foraging habitat,10.1111/j.1461-0248.2008.01255.x,resource acquisition,feeding mode
foraging habitat,10.3354/meps11626,resource acquisition,feeding mode
foraging height,10.1086/685894,resource acquisition,NA
foraging location,10.1111/j.1461-0248.2008.01255.x,resource acquisition,feeding mode
foraging location,10.1111/gcb.12862,resource acquisition,feeding mode
foraging method,10.1002/ece3.2606,resource acquisition,feeding mode
foraging method,10.1371/journal.pone.0093237,resource acquisition,feeding mode
foraging method,10.1111/cobi.12378,resource acquisition,feeding mode
foraging method,10.1666/13024,resource acquisition,feeding mode
foraging method,10.3354/meps10036,resource acquisition,feeding mode
foraging method,10.1002/ece3.5121,resource acquisition,feeding mode
foraging method,10.1111/j.1461-0248.2010.01493.x,resource acquisition,feeding mode
foraging method,10.1016/j.anbehav.2017.07.010,resource acquisition,feeding mode
foraging method,10.1111/j.1469-1795.2012.00528.x,resource acquisition,feeding mode
foraging method,10.1111/geb.12148,resource acquisition,feeding mode
foraging method,10.1186/1471-2148-13-132,resource acquisition,feeding mode
foraging method,10.1016/j.marenvres.2017.09.004,resource acquisition,feeding mode
foraging method,10.1890/14-2326.1.sm,resource acquisition,feeding mode
foraging method,10.1038/ncomms9877,resource acquisition,feeding mode
foraging method,unknown_32,resource acquisition,feeding mode
foraging rate,10.1007/s00442-004-1650-z,resource acquisition,consumption rate
foraging specialization,10.1111/1365-2435.12753,resource acquisition,diet
foraging strategies,10.1086/685894,resource acquisition,feeding mode
foraging stratum,10.1186/2193-1801-3-630,resource acquisition,feeding mode
foraging substrate,10.1111/1365-2656.13029,resource acquisition,feeding mode
foraging substrate,10.1371/journal.pone.0090437,resource acquisition,feeding mode
foraging substrate,10.1111/j.1461-0248.2010.01493.x,resource acquisition,feeding mode
foraging substrate,10.1111/j.1469-1795.2012.00528.x,resource acquisition,feeding mode
foraging territory size,10.1016/j.anbehav.2017.07.010,resource acquisition,feeding mode
forb,10.1890/10-0394.1,morphology,NA
forb dependence,10.1890/1051-0761(2006)016[0891:STAPOL]2.0.CO;2,habitat,NA
forest edge distance,10.1371/journal.pone.0090437,habitat,NA
fork length,10.1007/s12080-014-0229-5,morphology,size
form index of leaf shape,10.2307/3547051,morphology,leaf shape
form of adherence,10.1016/j.ecolind.2016.02.060,morphology,mobility
form of adherence to the substrate,10.1007/s10750-013-1711-6,morphology,mobility
form of attachment,10.1007/s10750-013-1711-6,morphology,mobility
form of growth,10.1007/s10750-013-1711-6,morphology,shape
formation of chains,10.1111/1365-2435.12784,activity,aggregation
formation of colonies,10.1111/1365-2435.12784,activity,aggregation
forms a three dimensional structure,10.1111/ddi.12712,morphology,shape
fractional size,10.1111/1365-2656.12471,growth,NA
free swimming,10.1016/j.ntt.2013.07.001,morphology,mobility
fresh leaf mass,10.1002/ece3.1286,morphology,size
frontal surface,10.1111/1365-2656.12218,morphology,NA
fruit colour,10.1111/ele.12081,morphology,offspring attribute
fruit dehiscence,10.1080/17550874.2017.1345997,morphology,offspring attribute
fruit diameter,10.1111/ecog.03396,life history,fecundity
fruit length,10.1111/j.1472-4642.2009.00599.x,life history,fecundity
fruit length,10.1111/j.1461-0248.2008.01255.x,life history,fecundity
fruit length,10.1111/ecog.03396,life history,fecundity
fruit length:width,10.1111/j.1472-4642.2009.00599.x,morphology,offspring attribute
fruit mass,10.1111/j.1472-4642.2009.00599.x,life history,fecundity
fruit mass,10.1111/ele.12642,life history,fecundity
fruit maturity,10.1111/j.1472-4642.2007.00381.x,life history,reproductive timing
fruit number,10.1007/s10682-005-2005-x,life history,fecundity
fruit size,10.1111/j.1472-4642.2007.00381.x,life history,fecundity
fruit size,10.1111/jbi.13516,life history,fecundity
fruit size,10.1111/j.1365-2745.2005.01046.x,life history,fecundity
fruit size,10.1111/j.1654-1103.2012.01428.x,life history,fecundity
fruit size,10.1111/ele.12081,life history,fecundity
fruit size and diameter,10.1098/rspb.2015.2444,life history,fecundity
fruit type,10.1111/j.1365-2745.2005.01046.x,morphology,offspring attribute
fruit type,10.1111/j.1461-0248.2008.01255.x,morphology,offspring attribute
fruit type,10.1016/j.ecss.2018.11.016,morphology,offspring attribute
fruit type,10.1111/j.1654-1103.2012.01428.x,morphology,offspring attribute
fruit type,unknown_24,morphology,offspring attribute
fruit type,10.1556/ComEc.14.2013.2.7,morphology,offspring attribute
fruit type,10.1002/ece3.3268,morphology,offspring attribute
fruit type,10.1002/ecs2.2374,morphology,offspring attribute
fruit types,10.1111/ele.12081,morphology,offspring attribute
fruit types,10.1111/ecog.02010,morphology,offspring attribute
fruit width,10.1111/j.1472-4642.2009.00599.x,life history,fecundity
function,10.1111/1365-2664.12493,resource acquisition,feeding mode
function feeding group,10.1111/j.1365-2656.2006.01068.x,resource acquisition,feeding mode
functional diversity,10.1016/j.ecolind.20.17.05.066,resource acquisition,feeding mode
functional feeding group,10.1111/1752-1688.12650,resource acquisition,feeding mode
functional feeding groups,10.1111/jbi.13457,resource acquisition,feeding mode
functional group,10.1111/ele.12081,resource acquisition,feeding mode
functional niche,10.3354/meps12165,resource acquisition,feeding mode
functional response to interspecific competition,10.1186/s13071-016-1659-2,resource acquisition,competitive ability
gall size,10.2307/2410482,resource acquisition,disturbance tolerance
game fished,10.1016/S0065-2881(09)56004-X,survival,managed species
gape width,10.1007/s10641-016-0506-9,morphology,mouth
gape width,10.1163/15685381-00003131,morphology,mouth
gemination onset,10.1890/10-1961.1,life history,reproductive timing
general activity,10.1111/jeb.12769,activity,movement
general mobility,10.1111/j.1365-2427.1994.tb01756.x,morphology,mobility
generalist,10.1111/icad.12271,resource acquisition,feeding mode
generation length,10.1098/rspb.2012.2131,life history,life span
generation number,10.1890/13-2036.1,life history,generation time
generation time,10.1111/j.1461-0248.2012.01861.x,life history,generation time
generation time,10.1111/j.1365-2486.2009.01963.x,life history,generation time
generations a year,unknown_10,life history,generation time
geographic affinity,10.1111/ecog.03747,habitat,range
geographic range size,10.1371/journal.pbio.0020197,habitat,range
geographic range size,10.1111/geb.12088,habitat,range
geographical distribution,10.1016/j.ecss.2018.11.016,habitat,range
